timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1642073209926,33975,HTTP Request CodeIgniter,200,OK,Thread Group 1-58,text,true,,311918,134,90,90,https://codeigniter.herebussiness.com/,5249,0,1213
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-58,text,false,,834,0,90,90,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-58,text,false,,834,0,90,90,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-58,text,false,,834,0,90,90,null,0,0,0
1642073208672,35268,HTTP Request CodeIgniter,200,OK,Thread Group 1-5,text,true,,311918,134,89,89,https://codeigniter.herebussiness.com/,3002,0,1193
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-5,text,false,,834,0,89,89,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-5,text,false,,834,0,89,89,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-5,text,false,,834,0,89,89,null,0,0,0
1642073210369,34259,HTTP Request CodeIgniter,200,OK,Thread Group 1-76,text,true,,311918,134,88,88,https://codeigniter.herebussiness.com/,6454,0,1469
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-76,text,false,,834,0,88,88,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-76,text,false,,834,0,88,88,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-76,text,false,,834,0,88,88,null,0,0,0
1642073208929,35842,HTTP Request CodeIgniter,200,OK,Thread Group 1-11,text,true,,311904,134,87,87,https://codeigniter.herebussiness.com/,3071,0,1154
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-11,text,false,,834,0,87,87,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-11,text,false,,834,0,87,87,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-11,text,false,,834,0,87,87,null,0,0,0
1642073209185,35985,HTTP Request CodeIgniter,200,OK,Thread Group 1-38,text,true,,311904,134,86,86,https://codeigniter.herebussiness.com/,12300,0,1286
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-38,text,false,,834,0,86,86,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-38,text,false,,834,0,86,86,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-38,text,false,,834,0,86,86,null,0,0,0
1642073210326,35283,HTTP Request CodeIgniter,200,OK,Thread Group 1-65,text,true,,311904,134,85,85,https://codeigniter.herebussiness.com/,5251,0,1348
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-65,text,false,,834,0,85,85,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-65,text,false,,834,0,85,85,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-65,text,false,,834,0,85,85,null,0,0,0
1642073210617,35094,HTTP Request CodeIgniter,200,OK,Thread Group 1-98,text,true,,311904,134,84,84,https://codeigniter.herebussiness.com/,5068,0,1374
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-98,text,false,,834,0,84,84,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-98,text,false,,834,0,84,84,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-98,text,false,,834,0,84,84,null,0,0,0
1642073208776,37146,HTTP Request CodeIgniter,200,OK,Thread Group 1-3,text,true,,311904,134,83,83,https://codeigniter.herebussiness.com/,13690,0,3402
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-3,text,false,,834,0,83,83,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-3,text,false,,834,0,83,83,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-3,text,false,,834,0,83,83,null,0,0,0
1642073208949,37301,HTTP Request CodeIgniter,200,OK,Thread Group 1-14,text,true,,311918,134,82,82,https://codeigniter.herebussiness.com/,3249,0,1123
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-14,text,false,,834,0,82,82,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-14,text,false,,834,0,82,82,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-14,text,false,,834,0,82,82,null,0,0,0
1642073210579,36650,HTTP Request CodeIgniter,200,OK,Thread Group 1-87,text,true,,311904,134,81,81,https://codeigniter.herebussiness.com/,10555,0,1408
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-87,text,false,,834,0,81,81,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-87,text,false,,834,0,81,81,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-87,text,false,,834,0,81,81,null,0,0,0
1642073209669,38395,HTTP Request CodeIgniter,200,OK,Thread Group 1-46,text,true,,311904,134,80,80,https://codeigniter.herebussiness.com/,3664,0,1306
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-46,text,false,,834,0,80,80,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-46,text,false,,834,0,80,80,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-46,text,false,,834,0,80,80,null,0,0,0
1642073208863,39317,HTTP Request CodeIgniter,200,OK,Thread Group 1-7,text,true,,311904,134,79,79,https://codeigniter.herebussiness.com/,3097,0,1180
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-7,text,false,,834,0,79,79,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-7,text,false,,834,0,79,79,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-7,text,false,,834,0,79,79,null,0,0,0
1642073209761,39078,HTTP Request CodeIgniter,200,OK,Thread Group 1-49,text,true,,311904,134,78,78,https://codeigniter.herebussiness.com/,11978,0,1293
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-49,text,false,,834,0,78,78,null,0,0,0
